14517374,aircleaner,AD보담 AD2101,좋아요,'신상리뷰단에 참여하여 AD보담으로부터 무료로 제공받아 작성한 후기입니다.'배송은 이중으로 박스로 포장되어져서 안전하고 빠르게 배송되어져 왔습니다.상품의 크기는 적당히 커서 너무 소형같지는않고 바닥에 두고 사용하기보다는 테이블이나 협탁같은곳에 올려두고 사용하기 좋은 사이즈입니다.기존에 사용하고있는 공기청정기들이 다들 커서 바닥에 두고 사용하는데 Ad보담 공기청소기는 작은 방이나 좁은 공간에서 사용하기 좋은것 같습니다.필터 교환은 어렵지않고 쉽게 사용할수있게 되어있습니다.작동방법 또한 간단하고 단순해서 어렵지않습니다.소음은 바랑세기를 강풍으로 했을경우 조금 크기는 하지만 수면모드는 완전 조용합니다.,80,11번가,2021.07.19.,f0****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,환기시킨다고 창문을 잘 열어놓고 다니는 편인데 주변에 공사를 너무 많이해서 집안 공기 걱정도 되고 쓰던 제품이 고장나서 알아보던 찰나에 이 제품을 알게 되었는데 찾다보니 여기가 제일 저렴해서 바로 구매했어욧!! 생각했던 것보다 사이즈도 적당하고인테리어 효과도 좋구젤 좋았던 건 소음이 거의 없다는 거예욧!잘때 틀어놔도 무방할 정도로샵에서도 쓰게 하나 더 구매할 예정입니당!첨에 불량 온 것도 신속하게 처리해주셔서너무 좋았네욤!,100,11번가,2021.07.05.,cj****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,1. led를 켜고 끌 수 있어서 밤에는 끄고자고 낮에는 켜놓으면 led색으로 공기질을 확인 할 수 있어서 좋아요~2. 수면모드 중간모드 강풍모드가 있어서 필요한 모드로 켜놓으면 되더라구요3. 터치 식이라 버튼 누르기 편해요4. 전구모양 버튼이 깜박깜박 거리면 필터 교체하라는 거래요 늦지않은 시기로 교체할 수 있어서 잊어버리지도 않고 좋은것 같아요^^5. 작아서 이동하기 편하고 원하는 장소에만 딱 적당히 틀 수 있어서 마음에 들어요~^^,100,11번가,2021.07.16.,ww****,[]
14517374,aircleaner,AD보담 AD2101,너무 좋아요! 만족합니다!!,같은 지역이라고 직접배송으로 당일배송 해주셔서 너무 좋았습니다.제 방에 두려고 소형 공기청정기 찾던 중 저렴하고 인터넷에 검색해보니 후기도 괜찮아서 구매했는데 만족합니다.하얀색에 네모네모한 디자인이라 어디에 둬도 잘 어울리고 수면 모드 사용시 조용해서 너무 좋네요. 헤파필터라니 안심도 되고요!조작법도 간단해서 기계 잘 못 다루는 분들도 쉽게 사용하실 수 있을 것 같아요.추천추천~~~,100,G마켓,2021.07.28.,je****,"['<img src=""http://bampic.gmarket.co.kr/v1/205/225/2141225205/01046/2141225205355672504600.jpg"" alt=""같은 지역이라고 직접배송으로 당일..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.gmarket.co.kr/v1/205/225/2141225205/02046/2141225205355672504600.jpg"" alt=""같은 지역이라고 직접배송으로 당일..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
14517374,aircleaner,AD보담 AD2101,최고예요,"'신상리뷰단에 참여하여 AD보담으로부터 무료로 제공받아 작성헝 후기입니다' 요즘은 여름, 겨울 할 것 없이 공기가 안좋은 날이 많아서 방마다 공기청정기 한 대 씩 두고 있는게 낫더라구요원룸이나 오피스텔에 딱 맞는 사이즈라서 남자친구 방에 집들이 선물로 주려구요 :) 사이즈 아담하고 소음도 심하지 않아서 사용하기 좋네요 생각지도 못한 터치로 풍량과 조명도 끄고 킬 수 있어서 더 좋아요 만족합니다",100,11번가,2021.08.01.,S|****,[]
14838026,aircleaner,클레어 KF 공기청정선풍기 클레어K + 클레어F,최고예요,잘받았습니다,100,11번가,2021.07.24.,so****,[]
14135717,aircleaner,옥시피아 무전원 고체산소 미니 공기청정기,최고예요,방향제 같은것이 상쾌한 향을 주네요. 배송 빨랐고 가격도 만족스럽고 산소를 뿜뿜해주면 좋겠어요. 감사히 잘쓸게요!!,100,11번가,2021.06.28.,ch****,[]
14135717,aircleaner,옥시피아 무전원 고체산소 미니 공기청정기,최고예요,"진짜 산소가 나오는지는 모르지만, 믿고 사용합니다. 그래도 방향재가 은근해서 좋습니다.",100,11번가,2021.08.18.,S|****,[]
14135717,aircleaner,옥시피아 무전원 고체산소 미니 공기청정기,처음이니 쎠보고 후기남길개요,처음이니 쎠보고 후기남길개요,100,옥션,2021.05.19.,jh****,[]
14135717,aircleaner,옥시피아 무전원 고체산소 미니 공기청정기,잘 사용하겠습니다,잘 사용하겠습니다,60,옥션,2021.05.18.,bi****,[]
14895368,aircleaner,LG전자 오브제컬렉션 퓨리케어360˚ 펫 알파 AS351NRPA,무취.무소음.인공지능,흰색이 아니어서 튈줄 알았는데 세련되게 잘 어우러지고 소음 전혀없고 특히 청국장 맘껏 끓여도 되고 초미세먼지 감지가 타사보다 우수하고 좋아좋아~ 아쉽다면 1등급 아닌거. 센서를 여러개 같이 구매할수 없다는거. 가격이 조금 비싸다는거. 몸값은 한다는거~,100,G마켓,2021.09.23.,li****,"['<img src=""http://bampic.gmarket.co.kr/v1/386/091/2180091386/01188/2180091386359151518800.jpg"" alt=""흰색이 아니어서 튈줄 알았는데 세련..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
14895368,aircleaner,LG전자 오브제컬렉션 퓨리케어360˚ 펫 알파 AS351NRPA,좋아요,고양이 털때문에 삼성 큐브 사용하다 주문했는데  아직은 잘 모르겠네요~ 가격만큼 성능도 좋았으면 합니다.   색상은 예쁘네요~,80,11번가,2021.09.07.,gh****,[]
14895368,aircleaner,LG전자 오브제컬렉션 퓨리케어360˚ 펫 알파 AS351NRPA,최고예요,"제일좋은제춤이라고 해서 삿는데, 일단 공기는 깨끗해진다니 기분은 좋아지네요",100,11번가,2021.09.17.,sk****,[]
14517374,aircleaner,AD보담 AD2101,좋아요,"신상리뷰단에 참여하여 AD보담으로 부터 AD보담 공기청정기를 무료로 제공받아 작성한 후기입니다.이중 박스포장으로 배송되서 깔끔하고 안전하게 배송됐구요이중 박스포장이라 선물하기도 좋을거같아요.일단 사이즈가 굉장히 아담하네요^^A4용지보다 조금 큰 사이즈예요.무게도 가볍고 사이즈도 가전제품치고 슬림해서 공간 많이 안차지하고 좋아요.택배받고 2일 정도 가동해봤는데 계속 파란불만 뜨더라구요.파란불이 공기상태 최고 좋을때 뜨는 색상이라 잘 되는건가~싶어서 시험삼아 삼겹살을 구워봤습니다.전기렌지랑 공기청정기 간격이 1.5M정도 거리에 뒀을땐 파란색이더니 후라이펜 근처로 공기청정기 옮기니까 바로 빨간색으로 변하더라구요삼겹살 냄새와 구울때 연기를 바로 인식해서 작동이 잘되는걸 확인하니 믿음이 갔습니다.빨간색이었다가 점차 보라색, 초록색, 파란색으로 변하더라구요.강풍은 소음이 좀있는데 낮에 사용하기에 거슬리진 않았어요.에어써쿨레이터 소음과 비슷해서 낮에는 강풍으로 쓰고저녁이나 잠잘땐 중풍, 수면기능으로 썼는데수면기능은 소음이 거의없어서 틀고 자도 괜찮았어요.상태표시 LED등도 온, 오프가 가능해서 필요에따라 조절가능해서 좋구요.작동 버튼도 간결하고 작동법도 쉬워 좋았습니다.근데 에너지소비등급이 5등급이더라구요.전기세 걱정이 됐는데 상세페이지 보니 하루종일 틀어도 전기세가 한달 1000원이라고 안내되어있어 마음이 놓이네요.필터도 교체시기 알림이되고 24시간 사용시 3개월 이상 사용 가능하다고하고 필터값도 19000원이라 가성비 좋은 제품인거같아요.한참 틀어놔야 하긴하지만 집안 냄새도 잡아줘서 매우 만족스럽습니다.지금까진 매우 만족스러운데 아직 한달정도 써본게 아니여서 별4개 줬구요~꾸준히 사용해보고 큰 단점을 발견하지 못하면 작은방에 추가로 하나 구매할 생각입니다.",80,11번가,2021.07.19.,da****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,"[ 신상리뷰단에 참여하여 AD보담으로부터 무료로 제공받아 작성한 후기 입니다.] 요즘같은 시대엔 각 방마다 공기청정기는 선택이 아닌 필수라고 해도 과언이 아니다. 공기청정기의 종류는 각 브랜드마다 어마어마하고 가격도 천차만별 >_< 거실에 타브랜드 상품을 이미 사용중이지만 부담스런 가격탓에 방마다 설치하긴 무리이다...;;좋은 기회에 아이들방에 공기청정기를 득템하게 되서 넘 좋았는데 며칠 사용하다보니 이거 완전 가격대비 가성비 짱 좋은 상품인것 같다. ^^ 작은 사이즈라고 무시해선 절대 안 된다. 공기청정기의 핵심이라고 할 수있는 필터~!!! AD보담 공기청정기는  H13 헤파필터를 사용해 오염된 공기를 효과적으로 청정하는 기능만 모아 제작하여 안심하고 사용하면 된다. 매일 작동시 한 달 1000원 정도 전기세가 나온다고 하니 전기료 걱정도 노노~!또한 공기질 센서가 스스로 감지하여 공기의 상태를 파랑,녹색, 보라,빨강 4가지의 색으로 즉각 알려주어 한 눈에 쉽게 확인이 된다. 그리고 터치식 버튼과 사용법이 쉽고 간단해서 넘 좋았다. 저소음, 오토모드,취침모드뿐만 아니라 램프를 통해 필터교체시기를 알려주니 이거 완전 대박 ^_^가격은 저렴하고 기능은 우수하니 각 방마다 꼭 쟁여야 할 가성비 짱~짱♡ ♥ AD 보담 공기청정기 ♥",100,11번가,2021.07.21.,wi****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,##신상 리뷰단에 참여하여 AD보담으로부터 무료로 제공받아 작성한 후기입니다 ## 거실에는  공기청정기를 사용중인데 작은방에도 둘 공기청정기를 알아보고 있는중이였어요 여기저기알아보던중 네이#에 올라온 담배연기 빨아들이는 실험하는 장면을보고  오~괜찮네 관심을 갖고있던중 신상리뷰단에 당첨되고 거기다 원하는 상품까지 사용할수 있게되서 너무 기쁘네요 ~~박스를 개봉하니  신상리뷰단에보내는 편지가들어있어서 감동~~~작고 아담한 공기청정기에 감동~~우선  사용을하려면 밑에 레버를 돌려서 필터포장지를 벗겨야해요  밑에 아래 둥근스폰지에 아로마오일을 뿌려주면 발향될수  있다고해요 전 아직 사용해보지못했지만 조만간 사용해볼 생각입니다  작동방법도 간단해서 전원버튼 키고 바람세기 조정하고  조명설정하면 되요빨간색ㅡ보라색ㅡ연두색 ㅡ파랑색 순으로  파랑색이 아주좋음 상태입니다 잘때는 수면모드가 있어서 라이트기능을 켜두면 다른 취침등이 필요없어요  바람소리도 제일쎈 단계만 살짝 거슬리고 그 아래로 설정해두고 사용하면 조용하고좋을것같아요  수면모드는 더 조용해서 좋고요~~~~필터도 H13등급 헤파필터로 믿고 사용할수있는 제품입니다 24시간 사용할때 기준으로 3개월을 사용할수 있다네요작은데 갖출기능은 다 가지고있어 매우 마음에 듭니다잘쓸게요~~~!,100,11번가,2021.08.01.,rl****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,'신상리뷰단에 참여하여 (AD보담)으로부터 AD보담 공기청정기 무료로 제공받아 작성한 후기입니다.'------ 날씨가 더워져서 작은 방 에어컨을 켜고 있을 때 문을 닫는데 두딸이 몇평 안되는 작은방에서군것질도 하고 슬라임도 하는데.. 쿱쿱한 냄새를 어찌하나 했는데 좋은 공기 청정기를 받게 되었습니다^^외관도 심플하고 작동이 쉬워서 좋네요 ~~~공기 청정기라는 이름에 가격에 거품을 빼고 정말 간단한 작동 법에 감탄~나이드신 어르신 분들도 편하게 사용할 수 있게끔 잘 되어 있는 것 같아요^^불빛도 어쩜 이리 여성여성 한지 작은딸이 자기방에도 해달라네요.되려 큰방에도 놓고 싶네요ㅋㅋ집들이 선물용.지인 선물용.부모님댁에 선물로도 전달하기 좋겠금 이중 박스로 포장되어 있고 ~~박스에 손잡이가 있어서 이거마저 고급지네요코로나만 없으면 참 살기 좋아지는 세상이네요~~~좋은 제품 받게 되어서 두루두루 사진 보시고 도움이 되셨음 합니다!불빛을 끌수도 있고 .밤에는 더 조용하게 할수도 있고간단한 조작법)))))진심 감탄 감탄 감탄~~,100,11번가,2021.07.15.,tj****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,신상리뷰단에 참여하여 AD보담공기청정기로부터 무료로 제공받아 작성한 후기입니다배송이정말빨리왔어요~!!아기키우는집이라 공기청정기를항상 고민하고있었는데 우연한기회에좋은제품써볼수있어감사합니다.안방에 두고 매일쓰고있는데 조용해서 좋아요~혹시나 아기가잘때 소음이방해되는건아닌지걱정했는데 전혀! 정말조용히 공기를정화시켜주더라구요!불빛도 무드등역할을하면서 따로무드등쓸필요가없어요! 디자인도깔끔해서 어디에놓아도 넘예쁩니다! 군더더기없는 디자인 너무마음에들어요! 사용법도 간단해서 금방하겠더라구요^^가격도합리적이어서 미세먼지많은시기가오면 하나더 구매해서 거실에놓아두려구요! 필터또한 18600원이면 구매할수있어서! 아기있는집정말추천합니다!부담없는가격에 미세먼지많은날 정말큰힘이될것같아요!^^상품과함께AS번호와쪽지도감동입니다ㅜ.ㅜ~끝까지책임지는 회사!!믿고쓰려구요!번창하세요!!!,100,11번가,2021.07.20.,lo****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,*신상리뷰단에 참여하여 AD보담으로 부터 무료로 제공받아 작성한 후기 입니다.*파손없이 꼼꼼하게 포장되어 빠르게 왔어요 ~실제로 받아보니 아담한 사이즈의 공기청정기가 넘 귀여워요 ㅎㅎ애들방에 하나 두고 싶었는데 마침 좋은 기회에 깜찍한 공기청정기를 얻게 되었네요..며칠 써봤는데 LED 조명이 예뻐요..크기는 작아도 공기질 센서에서 공기품질에 따라 색상이 변한다고 하니 믿음이 가네요 ..필터청소도 편해서 좋아요~3개월마다 교체하면 된다고 하네요..하루죙일 틀어놔도 한달에 천원정도라 하니 맘놓고 쓰고 있어요~소음도 거의 없어서 잘때도 조으네요..좀 더 써보고 괜찮으면 방마다 놔둘생각입니다..지금까지는 갠적으로 맘에 들어요 ~AD보담 공기청정기 굿굿 ~^^,100,11번가,2021.07.30.,se****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,신상리뷰단에 참여하여 AD보담으로부터 무료로 제공받아 작성한 후기입니다.빠른 배송으로 물건 잘 받았습니다 ^^ 사용법도 너무 간편합니다. 사이즈가 작아서 공간을 많이 차지하지 않아서 좋습니다. 작지만 기능이 다양하게 있습니다.특히 20db의 저소음 수면모드로 조용하게 공기청정 할 수 있어서 만족스럽습니다. 은은한 조명으로 집안의 분위기도 조절 가능하고 매일 사용해도 사용요금이 한달에 1000원으로 알뜰한 금액으로 하루종일 깨끗한 집안 공기를 유지시킬 수 있어서 너무 만족스럽습니다 !! 화이트 색상의 큐브 모양으로 거실이나 방 안 어느 곳에 놓아도 어울리고 깔끔합니다.앞으로도 꾸준히 잘 사용할게요 ^^,100,11번가,2021.07.25.,su****,[]
14517374,aircleaner,AD보담 AD2101,좋아요,'신상리뷰단에 참여하여 AD보담으로부터 무료로 제공받아 작성한 후기입니다.'배송은 이중으로 박스로 포장되어져서 안전하고 빠르게 배송되어져 왔습니다.상품의 크기는 적당히 커서 너무 소형같지는않고 바닥에 두고 사용하기보다는 테이블이나 협탁같은곳에 올려두고 사용하기 좋은 사이즈입니다.기존에 사용하고있는 공기청정기들이 다들 커서 바닥에 두고 사용하는데 Ad보담 공기청소기는 작은 방이나 좁은 공간에서 사용하기 좋은것 같습니다.필터 교환은 어렵지않고 쉽게 사용할수있게 되어있습니다.작동방법 또한 간단하고 단순해서 어렵지않습니다.소음은 바랑세기를 강풍으로 했을경우 조금 크기는 하지만 수면모드는 완전 조용합니다.,80,11번가,2021.07.19.,f0****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,환기시킨다고 창문을 잘 열어놓고 다니는 편인데 주변에 공사를 너무 많이해서 집안 공기 걱정도 되고 쓰던 제품이 고장나서 알아보던 찰나에 이 제품을 알게 되었는데 찾다보니 여기가 제일 저렴해서 바로 구매했어욧!! 생각했던 것보다 사이즈도 적당하고인테리어 효과도 좋구젤 좋았던 건 소음이 거의 없다는 거예욧!잘때 틀어놔도 무방할 정도로샵에서도 쓰게 하나 더 구매할 예정입니당!첨에 불량 온 것도 신속하게 처리해주셔서너무 좋았네욤!,100,11번가,2021.07.05.,cj****,[]
14517374,aircleaner,AD보담 AD2101,최고예요,1. led를 켜고 끌 수 있어서 밤에는 끄고자고 낮에는 켜놓으면 led색으로 공기질을 확인 할 수 있어서 좋아요~2. 수면모드 중간모드 강풍모드가 있어서 필요한 모드로 켜놓으면 되더라구요3. 터치 식이라 버튼 누르기 편해요4. 전구모양 버튼이 깜박깜박 거리면 필터 교체하라는 거래요 늦지않은 시기로 교체할 수 있어서 잊어버리지도 않고 좋은것 같아요^^5. 작아서 이동하기 편하고 원하는 장소에만 딱 적당히 틀 수 있어서 마음에 들어요~^^,100,11번가,2021.07.16.,ww****,[]
